6,5,0,4,3,10
inferolateral perfusion defect,cardiac problems,chess distress,premature atrial complexes,flustered,
intimal hyperlasia,cardiac symptoms,chest compression,premature ventricular complexes,gap breach,
intimal hyperplasia,cardiac vascular symptoms,chest distress,premature ventricular contractions,allergic,
irregular filling defects,cardioplegia,chest pressure,pulseless electrical activity,blockage,
kinked coil,cardiovascular symptoms,clinical adverse,pulseless ventricular tachycardia,device break,
lateral perfusion defect,chyluria,clinical consequences,rapid ventricular response,elevation depression,
lesion bend,claudication,clinical decline,sinus arrest,compliant,
lesion morphology,co morbidities,clinical delay,spontaneous heart sounds,hives,
lesion resistance,constipati,clinical sequelae,,adenopa,
linear filling defects,constriction,clinical symptoms,,balloon bunching,
little vessel tortuosity,contrast allergy,clinically better,,balloon shredding,
loss of septal branches,dehydration,complete break,,cot reformation,
lumen stretching damage,dementia,compression failure,,disloadged,
luminal irregularities,device failure,compressions,,dislodge,
luminal obstruction,diarrhea,connection failure,,malapposition,
mass effect,diffuse disease,critical condition,,calcium spicules,
muscular ventricular septal defects,dilated resistant disease,device issues,,canadian class symptoms,
nodular indura,drug rash,difficulty breathing,,cardiac standstill,
nodular opacity,dry gangrene,direct current shock,,cholenhally,
obtuse marginal om diffused disease,dysarthria,drug reduction,,class iii,
om diffused disease,dysfunction,effort difficulties,,clinical sequalae,
outflow obstruction,dyslipidemia,electric shock,,coaxiality,
paradoxical defect,dysplasia,elevated enzymes,,component bond break,
partial expansion,eczema,emergency measures,,crimp impressions,
flat balloon fold,eosinophilia,excessive pressure,,deficiencies,
foreign material spectrum,epigastric pain,exercise stress,,dog boning,
acute infiltrate,euphoria,expansion failure,,dogboning effect,
adventitial rupture,fatty degeneration,failure mode,,dress syndrome,
air embolism,fibrosis,flow delay,,ductal coverage,
anatomical abnormalities,frailty,flow issues,,elevated enzyme,
anatomical challenges,gall bladder stones,fluid restriction,,enzyme elevation,
angiographic changes,gallstones,fusion complexes,,epista,
apical ischemia,gastritis,hard resistance,,expanded conformation damage,
atheroembolization,gastrointestinal trouble,hospitalization,,expansion crimping failure,
blood clots,gastroparesis,inflammation reaction,,glasgow coma,
blood clotting condition,grade hypertension,balloon deflation issues,,lipid pool,
blood flow turbulence,cardiac failure,compressive stress,,mandrel kinks,
borderline extravasation,anatomical procedural factors,manipulation against resistance,,material shredding,
breakdown in the process,angina ischemia,bleed back,,nakamura,
cerebral infract,aortic regurgitation,blood pressure change,,nanjappa b,
clotting up,arterial hypotension,deep breath,,product deficiency,
collateral circulation,arterial ischemia,,,non conformance records,
dye extravasation,bend on the hypotube,,,non conformances,
embolism,bent hypotube,,,non conformances that,
epidural hemorrhage,bleeding diathesis,,,advancing break,
extravasation,break in the hypotub,,,air seep,
extravasation of contrast,break in the hypotube,,,ashaft break,
additional dilatation,cardiac catheterization,,,balloon expansions,
angiography,cardiac decompensation,,,barb sticking,
angioplasty,cardiac tamponade symptoms,,,belching,
angulation,cardio vascular symptoms,,,bent stylet,
anomalies,cardiogenic shock,,,bi component break,
arterial perforation,cardiomegaly,,,bleed dapt,
atheros,cardiorespiratory failure,,,break kink,
av fistula,cerebral hemorrhage,,,cardiac alert,
balloon dilatation,cerebral hemorrhage stroke,,,cardiac enzymes,
balloon dilation,cerebral infarction,,,cardio vascular,
balloon inflation failure,cerebrovascular events,,,cgs b,
balloon leak rupture burst,death myocardial infarction,,,ck mb,
balloon material peeling,decompensate,,,crimp problem,
balloon material rupture,deterioration of heart function,,,cv symptoms,
balloon peeling,deterioration of renal,,,dapt non respond,
balloon rupture,diastolic dysfunction,,,dc shock,
balloon rupturing,dilatation of heart,,,de novo,
bifurcations,dysfunctional ventricular,,,desterilization,
blotches,ectasia,,,dilatation to atmospheres,
branch closures,enzymatic infarction,,,dislodgment,
broken strut,esophageal dysmotility,,,diures,
bulged,exacerbation,,,dogboning,
burst leak rupture,fascicular block,,,dye hang up,
burst rupture,flow hypotension,,,ecg changes,
carotid,fluid overload,,,ekg changes,
complication barc type,fluid overloaded,,,enema,
concertina,gastrointestinal bleeding,,,frayed edge,
contrast leak rupture,haemodynamic disturbances,,,frayed resistance,
dilatation resistance,haemorrhage,,,gi bleed,
dislocated,haemorrhage sah,,,harden blood,
dislodgement,haemorrhages,,,heart judder,
distal perforation,hematemesis,,,heat shrink tubing,
embolization,hematochezia,,,hiccups,
entrapped,hemodynamic collapse,,,,
expand lumen,hemodynamic instability,,,,
fistula,hemodynamically stable,,,,
fragility,hemodynamically unstable,,,,
hematoma,lithotripsy,,,,
hemostasis,malapp,,,,
hemothorax,adenopathi,,,,
hyoptube kinks,allergic reaction of hives,,,,
ivus thrombus,allergic to gold,,,,
leak or rupture,anaphylaxi,,,,
leak rupture,anti platelet effects,,,,
leaking rupture,bigeminy,,,,
lumen break,comatose,,,,
lumen loss,cordial pain,,,,
macroscopic damage,cyclobranches,,,,
malapposed,euphoria balloons,,,,
material rupture,foraminal narrowing,,,,
material rupture leak,hemoccult positive stools,,,,
material ruptures,hyperkal,,,,
mi perforations,hypersensitivity,,,,
micro perforation,hyperuri,,,,
midsternal pressure,hyptoube kinks,,,,
misplacement,inactivity,,,,
multiple kinks,intolerance,,,,
angular tortuosity,lactic acidosis,,,,
angulation tortuosity,lesion failure,,,,
contamination decontamina,luminal loss,,,,
focal neckdown on the,melanic bowel movement,,,,
injury tortuosity,metabolic derangement,,,,
luminal changes,nocturinal,,,,
manufacturing non conformities,,,,,
manufacturing nonconformities,,,,,
neoinimal proliferation,,,,,
