No Information,Intracranial Hemorrhage,Fracture,,,,Abdominal Pain,Device Or Device Fragments Location Unknown,,No Code Available,,,,,,,,,,,,,,
,Embolism,Injury,,,,Weakness,Mechanical Problem,,Failure To Adhere Or Bond,,,,,,,,,,,,,,
,Vascular Dissection,Material Perforation,,,,Skin Irritation,"Activation, Positioning or Separation Problem",,,,,,,,,,,,,,,,
,Peripheral Vascular Disease,Material Deformation,,,,Unspecified Infection,Patient Device Interaction Problem,,,,,,,,,,,,,,,,
,Thrombus,Material Rupture,,,,Muscle Weakness/Atrophy,Patient-Device Incompatibility,,,,,,,,,,,,,,,,
,,Torn Material,,,,Malaise,Adverse Event Without Identified Device or Use Problem,,,,,,,,,,,,,,,,
,,Hole In Material,,,,Inadequate Pain Relief,Premature Activation,,,,,,,,,,,,,,,,
,,,,,,Discomfort,Invalid Sensing,,,,,,,,,,,,,,,,
,,,,,,Claudication,Device Contamination with Chemical or Other Material,,,,,,,,,,,,,,,,
,,,,,,Anxiety,Device Expiration Issue,,,,,,,,,,,,,,,,
,,,,,,Vomiting,Inflation Problem,,,,,,,,,,,,,,,,
,,,,,,Dysphasia,,,,,,,,,,,,,,,,,
,,,,,,Chest Tightness/Pressure,,,,,,,,,,,,,,,,,
,,,,,,Cognitive Changes,,,,,,,,,,,,,,,,,
,,,,,,Numbness,,,,,,,,,,,,,,,,,
,,,,,,Encephalopathy,,,,,,,,,,,,,,,,,
,,,,,,Dysphagia/ Odynophagia,,,,,,,,,,,,,,,,,
